STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,5/2/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,5/3/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,5/4/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,5/5/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,5/6/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,5/7/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,5/8/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,5/9/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,5/10/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,5/11/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,5/12/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,5/13/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,5/14/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,5/15/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,5/16/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,5/17/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,5/18/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,5/19/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,5/20/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,5/21/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,5/22/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,5/23/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,5/24/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,5/25/20,0,0
